"LANGUAGE","Русский","Language name (in native language)."
"LANGUAGE_GAME","Язык игры","Default selection in language selection menu."
"NOTE_CLOSE","Закрыть","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Не показывать снова","Notification button text - don't show this notification again."
"CONFLICT_DETECTED","Обнаружен конфликт модов!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Это означает, что мод не может работать и был отключён.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Конфликтующие моды:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","81 Tiles не удалось выполнить необходимые исправления Harmony.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Возможные причины:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","Требуемый мод Harmony 2 не был установлен","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Старый и/или сломанный мод мешает работе Harmony 2","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Другой мод может попытаться применить конфликтующие исправления Harmony","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"MOD_DESCRIPTION","Открывает все 81 клетки в игре.","Mod description displayed in content manager."
"SET_LANGUAGE","Выбрать язык"
"SNAPPING","Отключить привязку по умолчанию",
"HOTKEY","Горячая клавиша"
"LEFT_ALT","Левый Alt",
"RIGHT_ALT","Правый альт",
"LEFT_COMMAND","Выигрыш/командование",
"LEFT_CTRL","Левый Ctrl",
"RIGHT_CTRL","Правый Ctrl",
"LEFT_SHIFT","Сдвиг влево",
"RIGHT_SHIFT","Сдвиг вправо",
